name,category,price,image_url
Unisex Comfort Pamuklu Terletmez Patik Çorap Seti 8 Çift,Erkek,179.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1190/product/media/images/prod/SPM/PIM/20240301/16/442506f6-53b7-3504-9305-05eda6523774/1_org_zoom.jpg
Erkek Haki %100 Pamuk Kıvrılmaz Pike Polo Yaka Slim Fit Dar Kesim Tişört,Erkek,501.75,https://cdn.dsmcdn.com/mnresize/400/-/ty1417/product/media/images/prod/QC/20240712/12/7def5e9e-4cf1-3e4f-bc27-f66875db3c87/1_org_zoom.jpg
ERKEK BEYAZ SALAŞ GÖMLIK,Erkek,478.8,https://cdn.dsmcdn.com/mnresize/400/-/ty1679/prod/QC/20250515/01/10bfce86-9544-31fe-b042-d900f0d56f49/1_org_zoom.jpg
Hitit Sock Erkek 10 Çift Premium Kalite Pamuklu Düz Patik Siyah Beyaz,Erkek,174.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1714/prod/QC_ENRICHMENT/20250722/15/a60dfa69-0a92-375b-a857-d23e515bb534/1_org_zoom.jpg
Erkek Pamuklu Baskı Detaylı Şort Takımı,Erkek,439.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1677/prod/QC/20250513/10/94427831-e720-356c-9bf6-1b50d3bea012/1_org_zoom.jpg
Ekru Slim Fit Bisiklet Yaka Tişört 50327864-VR019,Erkek,503.68,https://cdn.dsmcdn.com/mnresize/400/-/ty1914/prod/QC_PREP/20260601/15/6b05e77a-5128-3d8d-ba2b-6e834fd15e30/1_org_zoom.jpg
Erkek Double Yaka Şortlu Pijama Takımı,Erkek,519.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1652/prod/QC/20250314/11/34b41c39-2997-38cc-ba6e-38f67191e263/1_org_zoom.jpg
Erkek Pamuklu Kısa Kollu Lacivert Ekose Desenli Cep Detaylı Pijama Takımı,Erkek,567.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1807/prod/QC_ENRICHMENT/20260107/12/498bc873-2232-37f8-aa4f-f74aa26f6f1a/1_org_zoom.jpg
Erkek Pamuklu Mavi Baskılı Cepli Şort Pijama Takımı,Erkek,519.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1647/prod/QC/20250313/11/371271bd-a339-304d-8b7f-986cac553bc9/1_org_zoom.jpg
Polo Yaka Regular Fit Desenli Pamuklu Tişört,Erkek,398.99,https://cdn.dsmcdn.com/mnresize/400/-/ty1934/prod/QC_ENRICHMENT/20260429/14/abafbee8-6253-314e-8501-afa52ce68dd4/1_org_zoom.jpg
Erkek Pamuklu Kısa Kollu Palmiye Desenli Cepli Şortlu Pijama Takımı,Erkek,535.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1827/prod/QC_PREP/20260217/08/3cd2d6cc-d78e-3808-9687-473334f8894e/1_org_zoom.jpg
Erkek Kısa Kollu Pamuklu Ayıcık Desenli Şortlu Pijama Takımı,Erkek,519.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1767/prod/QC_ENRICHMENT/20251009/15/48932e06-3269-3eaa-8a5a-9a8ffd5e0887/1_org_zoom.jpg
Koyu Mavi Regular Fit %100 Pamuk Kıvrılmaz Düğmeli Polo Yaka Basic Tişört 50325290-VR032,Erkek,629.64,https://cdn.dsmcdn.com/mnresize/400/-/ty1859/prod/QC_PREP/20260421/10/55cce2db-e34c-3956-9174-7a9e23ffc1b9/1_org_zoom.jpg
Erkek Pamuklu Köpek Baskılı Cepli Şort Pijama Takımı,Erkek,535.92,https://cdn.dsmcdn.com/mnresize/400/-/ty1829/prod/QC_PREP/20260219/11/f2353f28-9923-309e-ba55-0d59bbf37453/1_org_zoom.jpg
Deniz Ayakkabısı Kaymaz Taban Şık Havuz Simsiz Şeffaf Plaj Rafting Sandaleti 130,Erkek,199.0,https://cdn.dsmcdn.com/mnresize/400/-/ty1707/prod/QC_ENRICHMENT/20250712/14/a808edc1-d342-3d2b-95d8-11e272c85574/1_org_zoom.jpg
lacivert Erkek Kısa Kollu Pamuklu Gömlek Yaka Düğmeli Biyeli Pijama Takım 7822,Erkek,408.38,https://cdn.dsmcdn.com/mnresize/400/-/ty1808/prod/QC_ENRICHMENT/20251231/09/64d73a6b-94ea-3331-a884-0d956533c9c0/1_org_zoom.jpg
Erkek Regular Fit Polo Yaka Beyaz Basic Tişört 50326963-VR013,Erkek,575.98,https://cdn.dsmcdn.com/mnresize/400/-/ty1853/prod/QC_PREP/20260408/09/c72680ee-6472-36e8-a7b4-c752abc0718b/1_org_zoom.jpg
Erkek Çekmeyen Pamuklu Kumaş Comfort Fit Rahat Kesim Laci-indigo Kıvrılmaz Polo Yaka Cepli Tişört,Erkek,410.83,https://cdn.dsmcdn.com/mnresize/400/-/ty1418/product/media/images/prod/QC/20240712/12/b177ad6a-b5c7-3999-a03f-dde1be7d929d/1_org_zoom.jpg
